Genus,PC1,PC2,PC3
Acanella,-0.11938515190077413,0.046597094179370926,0.0650876105312585
Acanthogorgia,-0.016965059246031353,0.16990440436387466,0.1334781508860383
Anthomastus,0.02321035519053904,-0.16862947171000583,-0.08520486833432914
Anthothela,-0.07375283242951086,-0.1072446791720923,0.008818301497834823
Balticina,-0.03033721459657694,-0.12507858861062457,-0.05368393914207782
Bathypathes,0.10955050506038273,0.24140154927695298,0.08983996874924079
Chrysogorgia,-0.18620234376432315,-0.08444748053695043,0.0509968535296729
Clavularia,-0.14933465327589482,-0.2632083683158271,0.18860645111434723
Desmophyllum,0.5345316058549056,-0.15055568168675032,-0.03817220323118263
Distichoptilum,-0.13382724632564996,-0.06584987030519028,-0.023719671651063118
Funiculina,-0.07096774621377207,-0.14506494481489957,0.06835310497901198
Javania,0.5453230301199508,-0.18824503066400844,0.02467598831567659
Keratoisis,-0.11593998998108898,0.06850597455142023,-0.028953193194138537
Kophobelemnon,-0.008218353023267642,-0.17346038503845645,-0.002904064019999847
Lateothela,-0.06159888180789931,-0.11063075209224102,-0.019661833925587555
Lophelia,0.3655497506939588,-0.04375664975453464,-0.1238949175985826
Paragorgia,-0.16455384091975897,-0.04617362593824157,-0.19211923348568957
Paramuricea,-0.04671024719625086,0.19912364694864695,0.08807883673501996
Parantipathes,0.03583390442472104,0.30363891541055266,0.014768243925510465
Pennatula,-0.22621905084724833,-0.04129896068275613,-0.020024378419263907
Primnoa,-0.1829820376322853,-0.041264683421379435,-0.17859190591839996
Protoptilum,-0.07643044707092875,-0.16965322082273226,0.10071813025529122
Radicipes,-0.28221537400125446,-0.018424273849469604,-0.0929982666241778
Solenosmilia,0.3570823809391201,-0.10528728967289994,0.03344586383328725
Stauropathes,0.21715457770224947,0.23608374647461017,0.04475672339421397
Stichopathes,-0.08422708556272203,0.42357341208429705,-4.1772654411897963e-4
Swiftia,0.01670368627683232,0.1425861244342918,0.25187398916108455
Telopathes,0.13306350468885272,0.37187057086590986,-0.21916350637090026
Thouarella,-0.1789014757113092,-0.09608494039787809,0.06454436492589824
Umbellula,-0.12923426944496597,-0.058926541102989026,-0.14853287337387422
